Tên căn hộ,Quận (Huyện),Phường (Xã),Địa chỉ,Diện tích,Phòng ngủ,Nhà vệ sinh,Giá tiền (triệu/m² ),Trường học,Siêu thị,Giải trí,Cơ sở y tế,Nhà hàng, Bến xe (trạm xe bus),ATM
Căn hộ chung cư Samland Riverview,Bình Thạnh,25,Đường D1,84 - 88,1 - 3,1 - 2,28.41 - 42.1,17,8,14,7,18,0,5
Căn hộ chung cư 12 View,12,Tân Thới Nhất,Đường Tân Thới Nhất 8,55 - 92,1 - 2,1 - 2,19.5 - 21.5,19,9,9,5,16,1,7
Căn hộ chung cư The Useful Apartment,Tân Bình,9,654 Lạc Long Quân,56 - 89,1 - 2,1 - 2,25 – 28,18,7,15,9,17,2,10
Căn hộ chung cư Carillon Apartment,Tân Bình,13,171A đường Hoàng Hoa Thám,"54,6 -113,7",1 - 3,1 - 3,38.5 - 72.5,16,11,17,9,15,1,9
Căn hộ chung cư Hoàng Anh - New Saigon,Nhà Bè,Phước Kiển,Đường Nguyễn Hữu Thọ,100 - 242,2 - 4,2 - 4,22 - 28.8,18,7,3,0,14,0,7
Căn hộ chung cư Ruby Garden,Tân Bình,15,Đường Nguyễn Sỹ Sách,"47,9 - 169,2",1 - 3,1 - 2,27.2 - 40.1,20,9,10,3,11,0,4
Căn hộ chung cư 4S Riverside Linh Đông,Thủ Đức,Hiệp Bình Chánh,Đường số 30,67 - 76,1 - 2,1 - 2,25 - 34.9,7,2,7,0,13,0,0
Căn hộ chung cư Chung Cư Mỹ Đức,Bình Thạnh,21,220 Xô Viết Nghệ Tĩnh,44 - 165,1 - 3,1 - 3,37.5 - 49.3,13,5,10,5,16,7,11
Căn hộ chung cư The Golden Dynasty - Hoàng Kim Thế Gia,Bình Tân,Bình Trị Đông,Đường Trương Phước Phan,54 - 160,1 - 4,1 - 3,28.5 - 36.9,22,9,12,5,14,7,5
Căn hộ chung cư Cao Ốc An Lạc Plaza,Bình Tân,An Lạc,Đường số 7,80 - 105,2 - 3,1 - 2,14 - 15 ,3,8,11,7,13,6,7
Căn hộ chung cư Hoàng Quân Plaza,8,7,Đường Nguyễn Văn Linh,74.9 - 117,2 - 3,1 - 2,18.6 - 22.6,4,1,4,0,13,3,0
THỦ THIÊM GREEN HOUSE,2,Thạnh Mỹ Lợi,Đường Nguyễn Chí Công,36.42-64.68,1 - 2,1 - 2,26 - 27 ,20,3,13,4,20,0,0
THE FOREST GEM BÌNH THẠNH,Bình Thạnh,13,499 Nơ Trang Long,88.46 - 250,1 - 3,1 - 2,46-49,20,20,20,14,20,1,10
CĂN HỘ MASTERI PARKLAND,2,An Phú,628A mặt tiền đường Xa Lộ Hà Nội,61 – 142,1 - 3,1 - 3,55,20,20,20,20,20,6,13
Vinhomes Central Park,Bình Thạnh,22,Đường Điện Biên Phủ,48 - 187,1 - 4,1 - 3,64.6 - 121.4,10,20,10,5,11,0,1
VINHOME GRAND PARK,9,Long Thạnh Mỹ,Đường Nguyễn Xiển,30 - 100,0 - 3,1 - 2,36.4 - 60,12,1,18,15,20,6,11
Thủ Thiêm Zeit River,2,An Khánh,Số 10 Lương Định Của,50 -140,1 - 4,1 - 3,"150 - 162,82",12,5,10,13,15,0,3
KING CROWN INFINITY THỦ ĐỨC,Thủ Đức,Bình Thọ,số 218 Võ Văn Ngân,55 – 220,1 - 3,1 - 3,70 - 80,6,4,14,0,12,1,7
Delasol Capitaland,4,1,Số 1 đường Tôn Thất Thuyết,60-100,1 - 3,2 - 3,90,17,11,5,4,14,0,7
CELESTA RISE NGUYỄN HỮU THỌ - NHÀ BÈ,Nhà Bè,Phước Kiển,đường Nguyễn Hữu Thọ,48-105,1 - 3,1 - 3,45,15,18,9,17,11,5,11
Alpha City,1,Nguyễn Cư Trinh,87 Cống Quỳnh,28-124,1 - 3,1 - 3,180 - 215,19,6,7,18,16,6,4
Green Mark,12,Thới An,Đường Lê Thị Riêng,"45-70,28",1 - 2,1- 2,20,15,3,3,14,19,4,7
Lotus Garden,Tân Phú,Hoà Thạnh,36 Trịnh Đình Thảo,52-86,1  - 3,1 - 3,17 - 21,16,1,12,11,13,3,2
D AQUA QUẬN 8,8,14,số 301 Bến Bình Đông,60 -110,1 - 3,1 - 3,40,16,11,6,6,14,0,9
Cao ốc Nguyễn Phúc Nguyên,3,10,67 Nguyễn Phúc Nguyên,76 - 101,2 - 3,1 - 3,32 - 43,3,3,3,9,19,4,5
ECO GREEN SÀI GÒN Q7,7,Bình Thuận,"đường Nguyễn Văn Linh,",25 - 119,1 - 3,1 - 3,28 - 50,19,9,18,16,19,2,2
Ngọc Lan Apartment,7,Phú Thuận,Đường số 4,53 - 136,1 - 3,1 - 3,20,8,7,10,16,18,0,0
Saigon Gateway,9,Tăng Nhơn Phú,Đường Song Hành,53.28 - 90.78,1 -3,1 - 3,13 - 21,12,9,17,8,20,6,11
THE RIVER THỦ THIÊM,2,An Khánh,đường Nguyễn Cơ Thạch,54-300,1 - 4,1 - 3,127,14,6,4,18,14,4,1
Pax Residence,Nhà Bè,Long Thới,274 Đường Nguyễn Văn Tạo,45 - 80,1 - 3,2 - 3,25,17,17,19,18,19,0,4
CĂN HỘ PALM HEIGHTS QUẬN 2,2,An Phú,Đường Song Hành,76–123,1 - 3,1 - 2,30–36,13,4,20,14,16,2,0
Heaven riverview,8,16,192 Đường số 44,51 - 68,1 -2,1 - 2,15,14,18,3,5,11,6,5
CĂN HỘ FLORA FUJI QUẬN 9,9,Phước Long B,623E đường Đỗ Xuân Hợp,54-87,1 - 3,1 - 3,19.5,14,10,16,20,13,1,10
New Pearl Residence,3,6,192 Nam Kỳ Khởi Nghĩa,"87,4-418,7",2 - 4,1 - 3,90,10,8,19,9,15,4,12
SÀI GÒN MÊ LINH TOWER,1,Bến Nghé,Số 2 – 4 – 6 Hai Bà Trưng,85 – 119,2 - 3,1 - 3,161 - 184,16,3,8,6,12,3,5
Palm City Keppel Land,2,An Phú,Khu đô thị Nam Rạch Chiếc,76 – 123,2 - 3,1 - 2,28 - 30,4,14,18,5,13,7,13
XI GRAND COURT QUẬN 10,10,14,Số 256 – 258 Lý Thường Kiệt,69-109,2 - 3,1 - 3,33,5,12,8,7,20,6,9
Empire City Thủ Thiêm,2,An Phú,Dọc đường Mai Chí Thọ, 50-300,1 - 4,1 - 3,62.36,20,3,3,15,18,6,7
SPIRIT OF SAIGON,1,Nguyễn Thái Bình,Số 1 Phạm Ngũ Lão,90 - 275,1 - 3,1 - 3,172.5 - 230,7,2,10,19,14,3,1
CĂN HỘ HOMYLAND 3 RIVERSIDE QUẬN 2,2,Bình Trưng Tây,Nguyễn Duy Trinh,74.9 – 107.15,2 - 3,1 - 3,24 – 25,8,9,15,20,15,1,4
CĂN HỘ SUMMER SQUARE QUẬN 6,6,14,243 Tân Hòa Đông,"50,78 – 75,25",1 - 3,1 - 3,21 - 34,7,9,6,9,17,2,11
The Estella,2,An Phú,Mặt tiền xa lộ Hà Nội,98.3-171.5,2 - 3,1 - 3,52-57,16,19,20,5,14,3,1
Palm Residence,2,An Phú,Mặt tiền Song Hành,100-250,1 - 3,1 - 3,40 - 60,20,10,17,5,19,3,12
CĂN HỘ OPAL SAIGON PEARL,Bình Thạnh,22,Số 92 Nguyễn Hữu Cảnh,50 – 160,1 - 4,1 - 3,37.5,5,2,9,7,12,7,4
THE SPLENDOR,Gò Vấp,6,Đường Nguyễn Văn Dung,76.92 - 111,1 - 4,1 - 3,17 - 20,4,11,3,10,20,4,4
CĂN HỘ SUNWAH PEARL BÌNH THẠNH,Bình Thạnh,22,Số 90 Nguyễn Hữu Cảnh,51–124,1 - 3,1 - 3,45 – 50,17,12,19,8,11,3,1
ĐỨC LONG WESTERN PARK,Bình Tân,An Lạc,đường Lý Chiêu Hoàng,50–84,1 - 3,1 - 3,17 - 25,7,13,6,8,11,7,5
CĂN HỘ LANCASTER LINCOLN QUẬN 4,4,18,428 – 430 Nguyễn Tất Thành,46-134,1 - 3,1 - 3,40 - 50,20,2,4,15,13,1,7
CĂN HỘ AQUA LUXURY QUẬN 4,4,16,Số 76 Tôn Thất Thuyết,50-70,2 - 3,1 - 3,26 – 27,20,7,6,12,12,2,4
Căn hộ Elysium Tower,7,Phú Thuận,Đường Gò Ô Môi,"50-179,2",1 - 3,1- 3,24 - 27,4,4,14,6,20,6,13
SKY SYMPHONY KHẢI HOÀN LAND,Nhà Bè,Nhơn Đức,đường Lê Văn Lương,47-89,1 - 3,1 - 3,15-20,5,15,5,7,19,3,7
RICHLANE RESIDENCES QUẬN 7,7,Tân Phong,"Số 1056 A, Đường Nguyễn Văn Linh",45-123,1 - 3,1 - 3,47-78,18,5,13,10,15,6,10
Đức Long Newland,8,6,1016 đường Tạ Quang Bửu,52–87,1 - 3,1 - 3,18 -20,15,4,19,18,19,5,5
ONE VERANDAH MAPLETREE QUẬN 2,2,Thạnh Mỹ Lợi,4 mặt tiền đường Bát Nàn – Nguyễn Văn Kỉnh – Tạ Hiện – 103,55 - 130,1 - 3,1 - 3,45-48,4,12,4,3,19,2,3
Metro Screc II,2,An Phú,Mặt tiền đường số 2 và 37A,90-120,2 - 3,1 - 2,20 -21,4,8,8,1,13,5,7
KINGDOM 101 TÔ HIẾN THÀNH QUẬN 10,10,14,Số 334 Tô Hiến Thành,50-100,1 - 3,1 - 3,50-55,12,12,18,10,16,5,1
PICITY HIGH PARK QUẬN 12,12,Thạnh Xuân,Đường Thạnh Xuân 13,"48,8 -78,9",1 - 3,1 - 3,30 – 35,20,15,3,9,18,2,0
Vĩnh Lộc D’Gold,Bình Chánh,Vĩnh Lộc A,68 Hương Lộ 80,35-60,1 - 3,1 - 3,14.9,7,3,13,14,11,6,3
SUNSHINE CONTINENTAL QUẬN 10,10,14,Tô Hiến Thành,50 – 130,2 - 3,2 - 3,95,16,11,3,4,19,7,7
Tân Thịnh Lợi,6,13,Bà Hom,58 - 74,1 - 3,1 - 3,"12,4 - 13,7 ",8,15,10,12,19,1,12
Phú Lợi 1,8,7,Khu dân cư Phú Lợi,69–105,1 - 3,1 - 3,16 - 21,11,12,9,16,13,4,9
The Hyco4 Tower,Bình Thạnh,26,205 Nguyễn Xí,52 - 224 ,1 - 3,1 - 3,21,10,6,6,0,14,4,9
Quang Thái Tower,Tân Phú,Tân Hiệp,đường Tô Hiệu, 63 - 90,1 - 3,1 - 3,16,16,1,5,14,17,3,9
The Gold View,4,1,346 Bến Vân Đồn,50-124.5,1 - 3,1 - 3,38,17,4,5,1,20,6,4
SAIGONRES PLAZA,Bình Thạnh,26,79 - 81 Nguyễn Xí,71.3-82.8,2 -3,1 - 2,21,14,20,5,19,18,7,3
Chung cư Linh Trung,Thủ Đức,Linh Trung,6-8 đường số 16,"49,5-109",1 - 3,1 - 3,12.9,6,11,4,3,14,1,4
La Cosmo,Tân Bình,4,350 Hoàng Văn Thụ,62-92,1 - 3,1 - 3,45,20,2,16,3,16,1,10
Topaz Home 2,9,Tân Phú,Đường 154,47–67,2 - 3,1 - 2,"14,6",19,14,16,17,18,1,9